Vrid,panelistid,gender,AGEyears,AREA,RELIGIOSITY,QREL2,Q1,Q2,Q3,Q1A,Q1B,Q2A,Q2B,Q3A,Q3B,Q4A,Q4B,Q5A,Q5B,QCHECK,Q6A,Q6B,Q7A,Q7B,Q8A,Q8B,Q9A,Q9B,Q10A,Q10B,EDUCATION,FAMILYNUMBER,FAMILYSTATUS,SELFINCOME,FAMILYINCOME,Q100_19,Q100_0,Q100_1,Q100_2,Q100_3,Q100_4,Q100_5,Q100_6,Q100_7,Q100_8,Q100_9,Q100_10,Q100_11,Q100_12,Q100_13,Q100_14,Q100_15,Q100_16,Q100_17,Q100_18,PROFESSION,END
479,15152,10009,75,5,1,2,2,,,7,תחושה,9,מידת ההרס,7,תחושה,8,היקף ההרס,8,מידת ההרס,8,9,מצב המבנה,4,נוצר רק סדק,8,עוצמת ההרס,4,המגדל נשאר יציב,6,מידת הנזק,4,2,2,,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,
483,348065,10009,43,1,1,1,1,2014,בזמו מלחמת צוק איתן לפי מה שאני זוכר,2,לא רואים נזק,12,קרוב לקריסה,6,דרגה בינונית מאחר ויש סדק,12,לא ניתן לשיקום,9,נזק קשה אבל ניתן לתיקון,8,12,לא ניתן לתיקון,10,סדקים  ברי תיקון,12,הרס מוחלט,12,נזק חמור,10,לא יודע למה,4,5,2,,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,6,
485,95455,10009,71,4,1,1,1,2010,בתל אביב לפני 11 שנה לערך לא זוכר תאריך מדויק,6,פגיעה באזור העליון של המבנה,8,קרוב לקריסה,6,ההרס לא מלא,9,הרס ומוות,9,הצריח חצוי,8,10,הרס של מבנה רעוע משהו,9,השנה.  והסדקים בקירות,9,הרס משמעותי,9,השנה.  אבנים וצריח,9,השנה וסכנת קריסה,6,2,8,,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,
486,481108,10009,44,1,1,1,1,1982,קרית ביאליק בבית,8,מבנה קרס,8,מבנה התפרק וקרוב לקריסה,6,יש סדק בקירות אין קריסה או התפרקות מבנה,8,קריסת הבניין והתפרקות אבנים,7,שבר וקריסת אבנים,8,10,קריסת מבנה טוטאלי,6,סדקים בקירות טך ללא התפרקות המבנה,9,קריסת איזור מסוים של הבניין,8,נשבר חלק מהבניין,7,נוצרו סדקים בקירות ברמת סכנת שהייה,4,5,2,,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,6,
488,367710,10009,78,3,1,1,2,,,6,יש נזק קל בלבד,9,רעידת אדמה חזקה,6,נזק יחסית קל,9,נזק כבד לבניין,7,רואם נזק רציני אבל המבנה לא התמוטט,8,9,הבניין נהרס,6,נזק קל הבנייןלא התמוטט,9,נזק רציני למבנה,6,נזק כזה נגרם מרעידת אדמה חזקה,8,המבה הפך למסוכן,6,2,8,,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,
489,552134,10010,55,1,1,1,2,,,7,יש הרס של הצריח,10,קרס לגמרי,7,עדיין לא קרס,9,עדיין לאקרס אבל מסוכן וגם אבנים התחילו ליפול,10,מתחיל לקרוס,8,12,הרס מוחלט,7,סדקים רבים,9,חלק מהמנה התמוטט,9,"רק הצריח נפגע, לא כל המגדל",10,עלול לקרוס,5,2,1,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
491,298325,10009,33,1,1,1,1,2004,הייתי במיטה בבית שלי והתעוררתי להרגשת המנורות ודברים נוספים שהיו לי בחדר שזזו  עברו 3 שניות וזה פסק  רק בבוקר גיליתי שהיה מדובר על רעידת אדמה,5,לא רואה נזק ממשי למעט קצת נזקים קלים,8,זה עונה על הגדרה של 8 שזה גורם נזק ממשי לבנין והוא עלול לקרוס,7,גרימת נזק לחיבורי הבניין,8,בנין שהתפורר אבל לא קרס לגמרי,9,קריסה חלקית של המבנה,8,10,חלק מהבניינים נופלים וחלק לא,6,סדקים במבנה,10,נפילה של קירות   נראה שבנין בנוי היטב,7,נפילת חלקי ארובות במבנים ישנים   סדקים קטנים בקירות וכו',6,סדקים קטנים בקירות,5,3,2,,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
492,287706,10010,74,4,1,2,2,,,5,כי נפל החלק העליון של המגדל שהיא הנקודה החלשה,9,הנזק הוא גדול לפי התמוגה,7,היות שנקותהחיבור היא תורפה לכןהרעידה היתה קלה יחסית,10,היות והמבנה לא ניתן לתיקון הרעש היה רציני,8,שטח היסד היסוד הוא קטן ביחס למבנה כולו,8,11,הרס מוחלט של המבנה,6,בגלל התקופה הבניה לא היתה אכותית לפי התקן כיום,7,כי המבנה בעיקרו נשאר יציב,8,כי החלק העליון הוא החלש,9,כנסיה היא מבנה יציב ואם נגרמו סדקים הרעש היה חזק,2,2,2,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,
493,97831,10010,71,2,1,1,1,2005,לא זוכרת שנה . בבאר שבע הנברשת זזה חזק והרגשתי את האדמה רועדת,4,זה היה רשום,8,דרגת נזק גבוהה,5,דרגה לא גבוהה אין קריסה של הבניין,9,נזק רציני הבניין נהרס ויש הרוגה,6,דרגת קושי בינונית,8,8,נזק רציני הבניין נהרס,5,הכנסיה לא נהרסה ישנו רק סדקים בקירות,7,הרס רציני לבית,6,אין הרס כללי  רק חלקי של מגדל דוד,7,נזק רציני למבנה,4,2,2,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,
496,337350,10009,29,1,1,1,1,2015,בבית אמי בחיפה,8,בגלל הנזק שנוצר למבנה עתיק זה,10,בגלל שהמבנה קרוב לקריסה,6,סדקים שאינם בשלד המבנה,9,נזק פנימי במבנה וסכנת התמוטטות כללית,8,סדקים גדולים וקירות נופלים,8,10,"מבנה שהתמוטט לגמרי,אבל המבנה שמאחורה נשאר עומד",7,סדקים רבים בקירות,8,מבנים חלשים וישנים עלולים להתמוטט,7,נפילת חלקי ארובות,7,סדקים,4,2,8,,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
497,217925,10010,25,4,1,2,1,2002,גוש עציון,7,נזקים מועטים יחסית ובעיקר במקומות עדינים יחסית במבנה,9,אי אפשר לדעת אם מדובר במבנה חדש או ישן אבל יש נזק רב מאוד למבנה,6,יש רק נזקים קלים יחסית,8,הבניין לא התמוטט אבל לא ניתן לשיקום,8,רובו של המבנה נהרס לגמרי,8,8,רק המבנה הרעוע יותר התמוטט,6,יש נזקים שטחיים בלבד,8,חלק גדול מהמבנה התמוטט לגמרי,7,הנזק נקודתי יחסית ובמקומות עדינים,7,סדקים חמורים יחסית שיכולים לפגוע במבנה,5,2,8,,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
501,186250,10009,74,3,1,1,1,2010,הייתי בבית בראש העין,6,המצוטטות חלקית של המבנה,11,קרוב לקריסה מוחלטת אך עדיין לא קרס,4,כנראה ניתן לתיקון,12,הרס שאינו בר שיקום. הרוגה כתוצאה מהרעידה,4,ניתן לשיקום,8,12,הרוס לחלוטין. רק לפנות ההריסות.,2,לא רציני,8,בחלקו עדיין בר שימןש,4,בר שיקום,8,כנראה בר שיקום,4,2,2,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,
502,618294,10009,31,5,1,2,2,,,7,בגלל נזק למבנה,11,הבניין ניזוק  וקרוב לקריסה,6,הצורה בה הנזק מתואר,12,בגלל העובדה שיש הרוגה,7,מעבר לחלקי הקיר שנפל יש עוד סדקים שעלולים לגרום לנפילה של חלקים מהמבנה,8,12,המבנה נראה הרוס לגמרי,6,בגלל התאור של הנזק,8,המבנה נראה חלש ורעוע,8,כך נראה לפי התיאור,11,כי המקום לא בטיחותי,2,6,2,,6,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,
509,402921,10009,50,1,1,1,2,,,7,נזק למבנה,9,קריסה,7,נזק קל,9,נזקים בנפש,8,נזק למבה,8,10,נזק חמור,7,נזק קל,10,התמוטטות מבנה,7,נזק קל,8,נזק בינוי,5,4,2,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,
513,566523,10010,51,4,1,1,1,2011,במעלה אדומים,3,לא רואה נזק רב,8,המבנה לא נהרס הוא אמנם ניזוק אך לא נהרס,7,נגרם נזק שיכול להסב נזק גדול יותר בעתיד,10,"נגרם נזק גדול , יש הרוג",9,נגרם נזק למבנה יש סיכון בנפילת אבנים ונראה שמבנה יכול עוד לההרס,8,12,המבנה נהרס כליל,3,מדובר בסדק קטן,11,המבנה נהרס כליל,5,מדובר בנזק לא גדול אך יתכן ויגרם נזק בעתיד,6,"יש סדקים , אך מכיוון שהמבנה ישן יש משנה זהירות",5,4,2,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,
517,228427,10010,73,3,1,2,2,,,8,רואים נזק,11,ברור מאליו,6,סדקים שיכולים לגרום לנזק רב יותר,12,הרס ונפגעים,11,התמוטטות,8,12,הרס מוחלט שיכול להיות שיש גם קורבנות,6,מדובר רק בסדקים,11,חורבן,11,נזק עם אפשרות לנזקים  בבנין על יד,12,בגלל שהמקום הוכרז כלא בטיחותי,2,2,2,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,
518,519011,10010,65,1,1,2,2,,,6,המסגד והצריח לא נ פגעו.רק חלק קטן מהבניין קרס,7,"כשבניין ניזוק ולא ניתן לשיקום ,הרמה היא 7",6,נוצרו סדקים והבניין לא התמוטט,7,התמוטטות חלקית,7,הסדקים בבניין אבל עדיין עומד על תילו,8,8,הבניין נהרס כמעט כליל,6,נוצרו סדקים ללא התמוטטויות,7,חלק מהבית עומד על תילו,7,התמוטטות חלקית,6,רק סדקים,5,2,2,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,
519,109071,10009,75,2,1,1,1,2004,בחיפה,6,זהו נזק אך לא קשה,10,נזק מאד קשה,8,יש נזק בולט אך לא מאד קשה,11,"כמעט נחרב לחלותין,נזק בלתי הפיך",10,נזק קשה אך אפשר לתקן,8,12,נחרב לחלוטין,7,נזק לא קשה מאד,10,נזק קשה,8,נזק ברמה יותר מבינונית,10,סכנת קריסה,5,2,2,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,
520,294536,10010,21,3,1,1,2,,,9,רואים הרס משמעותי למבנה. מה שאומר שגם אנשים רבים הרגישו בר'א וגם מבנים נוספים נפגעו.,10,"נזק של מבנים, קריסה מוחלטת זה 11+",9,ר'א גרמה לסדק משמעותי למבנה,12,נזק אדיר למבנה ומוות של אנשים,9,נזק משמעותי למבנה,8,12,מבנה קרס טוטאלית,6,סדקים בלבד,10,נזק משמעותי למבנים,8,סדקים משמעותיים,8,סדקים משמעותיים,3,3,1,,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
521,138626,10010,36,1,1,1,1,1996,"לערך, בבית בקריית טבעון בבוקר, המיטה זזה",9,מכיוון שרואים שהבניין ניזוק,11,נראה לי שזה מתאים לתיאור,7,מדובר בסדקים,12,נשמע שהבניין נחרב,11,כל הצריח נהרס,8,12,הבניין נראה הרוס לחלוטין,8,נזק קל,9,נראה שחצי בית נמחק,8,נזק אבל נשמע שאפשר לשקם,10,נשמע שיש הרבה מה לתקן,5,3,2,,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
524,354804,10009,21,3,1,3,2,,,8,"נראה כי כל החלק העליון של החומה התמוטט(מבנה ישן), אך הרעידה לא מספיק חזקה כדי להבריח את מי שעומד בתמונה",9,"המבנה על סף הריסה, מתאים לקריסה חלקית של שלד המבנה",7,"יש נזק,אך הוא לא מספיק כדי למוטט את הבניין-רק לערער על יציבותו",9,"מכיוון שמדובר על שיקום,ניתן להסיק שהמבנה הוא ישן, אך הוא נחרב כמעט לחלוטין. בנוסף,זה מתאים לנפילת הקירות בדרגה 9",8,"יש סדק גדול בקיר,על סף התמוטטות",8,11,"נראה כי יש כמה מבנים שהתמוטטו מהיסוד, וצריך לבנות מחדש",7,מדובר בסדקים קטנים,8,"יש נזק משמעותי למבנה, אנשים מסתתרים מהרעידות",7,נזק מתון למבנה-מדובר רק בקצה של הצריחים,7,"יש סדקים, אך המבנה עדיין עומד",5,5,1,,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
525,9126,10009,74,3,1,3,1,1982,רעידה קלה בתל אביב אולי בשנה אחרת כי לא זכור לי בדיוק מתי,7,נזק רב אבל לא נהרס המבנה אלא החלק שהוא הכי פחות יציב,8,לפי המתואר המבנה קרוב להתמוטטות מוחלטת,6,אין קריסה רק סדקים בנקודות תורפה החלשות במבנה,7,יש מפולת אבנים בבנין  ורק המגדל בסכנת התמוטטות   בגלל בסיסו הצר,9,נראה הרס מסיבי,8,7,המבנה שנהרס נראה כמבנה קל ללא יסודות חזקים  והמבנה שמאחור שהוא כנראה הרבה יותר מסיבי ואיתן נראה כאילו לא נפגע,6,זה נזק קל שלא פגע בשלד המבנה,9,יש הרס של חלק מהמבנה שכנראה היה חלש וישן,7,זה לדעתי נזק בינוני,7,אין התמוטטות אלא סדקים שאלולים ליפול אולי בעתיד או בהפעלת כח,5,2,2,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,
526,153095,10010,35,3,1,3,2,,,8,'מבנים ישנים וחלשים עלולים להתמוטט' + נראה כמו התיאור של צריח המסגד החדש בעמאן,10,'קריסה חלקית של שלד המבנה' זה 9 ופה מדובר על קרוב לקריסה מוחלטת אז 10,7,'סדקים גדולים בקירות' + מזכיר את התיאור של האוניברסיטה העיברית,8,'מבנים ישנים וחלשים עלולים להתמוטט',8,התמונה מזכירה את התיאור של צריח המסגד החדש,8,8,'מבנים ישנים וחלשים עלולים ההתמוטט' המבנה נראה מאוד ישן וחלש,6,סדקים,8,'נפילה מסיבית של קירות',6,'נזק קל שאינו בשלד המבנה',6,סדקים בקירות,3,3,1,,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
527,104819,10009,74,1,1,1,1,1981,"חיפה והצפון  זכור לי כי בשעות הבוקר בעת שהייתי בקומה 4 בבניין לפתע הרהיטים החלו לזוז , המנורות היטלטלו קלות, התופעה נמשכה מספר שניות",6,כפי שניתן לראות מהתמונה -נגרם נזק ברמה בינונית פלוס,6,אין אפשרות להסיק מצילום ישן ודהוי שהמבנה ניזזוק בצורה קשה,7,מדובר בנזק רציני,11,"מדובר בנק אדיר שנגרם למבנה, כגון:המגדל בסכנת קריסה  ולא ניתתן לשקם את המבנה",10,החלק העליון-הרוס חלק נחצה לשניים,8,12,"חורבן כללי, המבנה קרס לחלוטין",8,נזקים בדרגה בינונית הניתנים לתיקון,10,נזק כבד נגרם למבנה חלקו הרוס,10,ניתן לתקן את הנזק שנגרם,10,נזק  כבד ומשמעותי - יש לאטום/ להרוס מבנה כזה,5,2,8,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,
528,273104,10010,27,3,1,3,2,,,8,"נראה שהמבנה למעלה נהרס כמעט לגמרי, אך התשתיות נראות שלמות ויציבות",11,בגלל התיאור,4,בגלל המילה טיפוסי,12,הרס המבנה לחלוטין ואף מוות של אדם,10,לא ראוי יותר לשימוש,8,12,נראה הרוס לגמרי ועם לא הרבה סיכויים לניצולים,6,לא נשמע חמור אבל עדיין יש סדקים,9,"המבנה הרוס כמעט לגמרי, אבל לא חושבת שהיו נפגעים בנפש",8,נזק גדול למבנה,9,סכנה  מוחשית לחיי אדם,5,2,2,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
529,88841,10009,37,5,1,1,2,,,4,סביר,10,קריסה מוחלטת,5,בעית חיבורים,8,סכנה,7,באמצע,8,10,שיקום,2,סדק,8,קריסה,2,תזוזה,4,סדקים,5,5,1,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
530,241427,10009,76,3,1,1,2,,,8,היו נזקים אבל לא נהרס,11,ההרס כמעט מוחלט,9,יש  לעשות תקונים אבל לא יותר מזה,11,יש הרס לא מוחלט,10,חלק הרוס,8,12,הרס מוחלט,9,צורך תיקון,10,חלק גדול הרוס,9,יש לתקן,10,תקון דחוף,6,3,2,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,
531,137181,10009,81,4,1,1,1,1965,עבדתי במכון תערובת ליד חדרה ועליתי לסילו בצורת מגדל גבו לפתע החלה רעידת אדמה וכל הסילו התנדנד מצד לצד0 מאד לא נעים.,7,אין הרס רב מדי,7,כאמור הנזק לא היה טוטלי,4,מבנה ישן הסדק ניתן לתיקון,9,רחוק מנזק אדיר,6,מבנה ישן מאד יש לשער שנגרם נזק בגלל יושנו,8,5,המבנה כנראה רעוע. עובדה שלמבנה שלידו לא ארע דבר,4,מנזר עתיק נתון לזעזועים,8,רעש חזק אבל לא הרס את כל הבנין,7,מגדל יציב אך אם קצהו נקטם סימן שהיה רעש בינוני,8,כנסיה בנויה מוצק מאד כנראה שהרעש חזק,2,2,2,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,
532,144024,10009,44,3,1,1,1,2011,"ביקרתי ביפן כשהתרחשה שם הרעידת אדמה הגדולה האחרונה. כמו כן, היו רעידות קטנות יותר בישראל.",8,"נראה כי יש נזק משמעותי לצריח, וכן לכיפה מעל המבנה.",8,"לא מפורט אם זה בנין חדש או ישן. לפי סקאלת המידות שתוארה קודם, ברמה 8 קיימת התמוטטות בשני סוגי המבנים (ישנים וחדשים)",7,"הדיווח נשמע קר רוח. בנוסף, למיטב זכרוני זהו מבנה ישן, כך שסדק משמעותי בקיר הוא אפשרי ברמה הנתונה.",9,"מבנה השלטון אמור להיות מבנה חדש יחסית ובנוי היטב, אם המבנה חווה כזו פגיעה, זו כנראה רעידת אדמה הרסנית",8,"מבנה ישן יחסית, אבל הנזק רב וכבד. התמוטטות כמעט מלאה של הצריח, סדקים משמעותיים בחלק שנשאר.",8,9,"המבנה הזה חדיש יחסית (קורות פלדה, בניה מודרנית) אבל נראה שהוא התמוטט כליל. לעומת זאת קיים מבנה נוסף ברקע, שנראה שעומד על תילו.   הרעידה היתה כנראה הרסנית, אבל לא ״הרסנית מאוד״",7,"הדיווח מתאר רק סדקים בקירות, אבל לא התמוטטות כלשהי. אמנם הנזק קל יחסית, אבל הוא נרחב ״סדקים רבים״ לכן לדעתי מדובר בנזק בינוני",8,"המבנה נראה שספג נזק כבד והתמוטטויות מסיביות, אבל חלקו הימני עדיין ניצב. וכך גם המבנים בשול השמאלי של התמונה. כך שאמנם נזק כבד, אבל לא נראה כרעידה הרסנית.",7,"התיאור מציין נזקים קלים מאוד, חלקים קטנים של המבנה, בלי התמוטטויות משמעותיות",8,"הסדקים המתוארים נשמעים מסיביים (עד כדי כך שהמבנה לא בטוח לשימוש), אמנם לא מתוארת התמוטטות, אבל נשמע מאוד קרוב לזה.",5,3,2,,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,
534,548142,10009,76,3,1,1,2,,,8,נזק למבנה,11,המבנה קרוב לקריסה מוחלטת,10,מדובר  בסדק חיצוני,12,"נזק מירבי, בךתי ניתן לשיקום והמגדל בסכנת התמוטטות",9,ניתן לשקם את המגדל,8,12,המבנה התמוטטת כליל,7,ניתן לשיקום,8,ניתן לבנות מחדש את החלק שקרס,5,ניתן לשקם את הצריח והמגדל השני,6,אפשר לטפל בסדקים,6,2,2,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,
535,228606,10009,74,2,1,1,1,1948,דרום אמריקה,10,כי הצריח נפל והיה בקטע הקודם,10,נראה סביר,8,מזיכרון של הכתוב קודם,11,עקב נזק אדיר,7,החלק התחתון נשער שלם,8,12,נזק אדיר,4,רק נגרמו סדקים,4,נזק חלקי למבנה לא יציב,8,נזק חלקי,10,מבנה הוכרז לא בטיחותי,4,1,5,5,,,,,,,,,,,,,,,,,,,,,,8,
536,363948,10009,43,1,1,1,2,,,5,לא רואה הרס גדוול,10,קריסה,6,נשמע שיש הרס קל,10,הרס מוות,7,בכלל מה  שרואים שהתמותת,8,9,בגלל ההרס,6,סדקים,8,ישנו נזק,8,זזו אבנים,9,סדקים חזקים לא בטיחוטי,2,2,1,,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
540,555810,10009,29,4,1,3,1,1995,בפת,9,הרס של מבנה.,8,נזק קשה לבמנה אך ללא קריסה,5,סדקים בבתים,7,"בהלה, נזק רציני למבנה. מורגש",9,נזק כללי למבנה,8,11,מספר מבנים שקורסים ונופלים,5,סדק בבית. ללא קריסות וללא נפגעים,11,נזק רציני לבתים.,10,נזק למבנה ותזוזה בבתים אחרים,7,נזק משמעותי למבנים.,5,4,2,,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
541,597277,10010,66,3,1,1,2,,,6,הנזק בעיקר בחלק העליון חלקי טיח נפלו,11,מבנה ניזוק הרס מוחלט,10,יש נזק לשלד המבנה,12,המבנה נהרס כליל,9,"בחלק מהמבנה יש הרס ,ובחלקו יציב ניתן לשקם",8,12,המבנה נהרס כליל ללא אפשרות שיקום,7,רימת נזק בינוני ניתן לשיפוץ,10,מבנה מתמוטט,8,גרימת נזק אך אולי ניתן לשיפוץ ושיחזור,12,מבנה מיועד להריסה,5,2,2,,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,
542,617539,10010,23,2,1,3,2,,,9,המבנים ניזוקו אבל לא נחרבו לגמרי.,11,הבניין ניזוק בצורה חמורה.,7,הנזק נעשה בחלקים החלשים יותר של הבנייה.,10,המבנה התמוטט והנזק גדול,8,"חלק מהבניין נהרס, נראה שזהו החלק היותר רגיש של המבנה, הבסיס והיסודות נשארו חזקים.",8,9,"רק חלק מהמבנים נהרסו, המבנה האחורי אינו ניזוק כמו המבנה שבקדמת התמונה.",6,ישנם סדקים בקירות והנזק אינו כבד,9,המבנה קרס בחלקו.,7,המבנה נפגע אבל לא באופן משמעותי.,8,סדקים אשר עלולים לגרום לקריסה.,5,2,2,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
543,276669,10009,22,3,1,2,2,,,7,האיש נראה עומד בחוץ בלי בעיה.חוץ מזה נוצר נזק בינוני למבנה,9,"לפי הסרגל,כאשר הבניין נזוק בצורה קריטית דרגת החומרה היא בין 9-12",7,סדק בינוני,8,הבניין לא קרס אך הנזק לא מאפשר לשקם אותו,8,נגרם נזק בינוני למבנה,8,9,הבניין התמוטט כליל,6,סדקים במבנה,8,נזק כבד למבנה,7,נזק בינוני,6,סדקים בקירות,3,3,1,,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
544,503083,10010,50,3,1,2,2,,,6,"ע'פ הכללים של מידות הנזק  המבנה נשאר, ורק הצריח נפגע. המבנה עדיין שלם ברובו",9,"מצויין שהמבנה ניזוק והוא קרוב לקריסה, זה אומר שעדיין לא קרס אז יש נזק רב.",1,"מאחר ואין נזק, הדיווח הינו על עובדה קיימת בשטח. אך לא על נזק.",8,"יש נזק לבנין אך עדיין הוא לא התמוטט, קיימת סכנה שהוא יתמוטט",8,מתואר בתמונה נזק לקירות,8,9,"יש נזק כבד למבנה, קירות התמוטטו אך עדיין יש חלק במבנה שנשאר עומד.",1,"לא נגרם נזק, סדקים  בקירות לא מורגשים ע'י האדם, אולי רק על ידי מכשור מיוחד.",8,"נגרם נזק למבנה, הקירות החיצונים נפלו.",6,"נרם נזק קל לקצה הצריח, זה לא גרם לקריסה",1,"אין נזק, רק הכרזה של חוסר בטיחות.",3,4,2,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6,
548,447338,10009,31,1,1,4,2,,,8,נגרם נזק כבד למבנה,10,כי הוא כמעט קרס לחלוטין,6,סדקים בקירות מוגדרים כנזק קל-6,9,נזק והרס שהוביל להרג,10,נזק מוחלט למבנה,8,12,הכל התמוטט לגמרי,7,סדקים בקירות מוגדר בסולם-7,7,סדקים  בקירות,8,נזק למבנה,6,סדקים בקירות,4,7,2,,3,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,6,
550,616034,10010,21,2,1,1,2,,,6,נראה שחלקים נפלו מהמבנה אך לא נגרם נזק משמעותי לו,11,מבנה שקוב לקריסה מוחלטת לפי הגדרה שווה לרמה 'מחריבה',6,מתואר נזק קל למבנה במקומות החלשים שלו לכן מתאים בהגדרה 'נזק קל',11,מתואר נזק רב לבניין ומוות,9,מתוארת קריסה של חלק משלד המבנה,8,9,נגרם נזק לבניין חלש יותר ולא לבניין חזק,7,מתואר נזק למבנה אך לא קריסה משמעותית,8,מתחילה קריסה של המבנה,6,מתואר נזק קל למבנה,8,בגלל חשש לקריסה,3,5,1,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
554,361865,10009,19,4,1,2,2,,,4,הרס המוגדר קל למבנה,1,התמונה לא מופיעה,1,אין תמונה,1,..,7,הרס פנימי למבנה,8,12,המבנה נהרס קליל,1,מדובר בנזק קל (סדק),9,מבנה אשר נהרס בצד אחד בלבד,9,..,10,מבנה המסוכן לציבור מבעוד מועד,3,6,1,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
560,229056,10010,55,2,1,1,1,1984,ישראל בעכו,7,נזק מתון במבנה,9,מבנה בקריסה מוחלטת הרסני,8,המבנה עלול להתמוטט,9,רעידה הרסנית,6,התמוטטות חלקית של המבנה,8,12,הרס של כל המבנים,7,נזק מתון,9,נפילה של קירות,7,נפילה חלקיתשל המבנה,8,עלול להתמוטט,3,4,2,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,
562,258953,10009,59,3,1,1,2,,,4,נזק יחסית קטן,11,נזק כבד,7,נזק בינוני,9,נזק כבד,10,נזק כבד,8,11,הריסה,10,נזק כבד,11,הריסה,9,הריסה,8,הריסה,5,2,2,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,
566,122087,10010,42,1,1,2,2,,,6,החלק העליון נפגע קצת,9,המבנה כמעט מרוסק,7,בחלק התחתון יש פגיעה,10,לא ניתן לשקם חלק מהמבנה,7,חלק מהמבנה העליון התפרק,8,11,המבנה קרוס דיי לחלוטין,6,אין כ'כ הרבה נזק,8,היתה רעידה דיי קשה יש הרבה לבנים בחוץ וגם המבנה קצת התפרק,4,אין ככ הרבה נזק,9,לא בטיחותי להכנס,3,4,1,,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,
